Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module fft_tb.fft_inst.source_inst.hanning.bram_inst.inst.\native_mem_module.blk_mem_gen_v8_4_6_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module fft_tb.fft_inst.source_inst.lfp.bram_inst2.inst.\native_mem_module.blk_mem_gen_v8_4_6_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
$finish called at time : 30100 ns : File "G:/NERCN_LFP/FPGA_final project/DBS_FPGA/data_1_9_semi_final/data_1_9_semi_final.srcs/sim_1/new/fft_tb.v" Line 64
Time=57525000 FFT Output: Real=00000000000, Imag=009e7dd7920
Time=57575000 FFT Output: Real=3fff13ca4b4, Imag=3fb090b92c4
Time=57625000 FFT Output: Real=3fff30f3819, Imag=0000adf4cac
Time=57675000 FFT Output: Real=00003624e93, Imag=3fff90fa388
Time=57725000 FFT Output: Real=3ffff214304, Imag=00003e37fde
Time=57775000 FFT Output: Real=3ffff01c3ea, Imag=3fffbc3f51f
Time=57825000 FFT Output: Real=3fffd8f9228, Imag=00000bd3fd3
Time=57875000 FFT Output: Real=00002d0e5a2, Imag=00000519cb5
Time=57925000 FFT Output: Real=3ffffa3d355, Imag=3fffcc0b81b
Time=57975000 FFT Output: Real=3fffe3db76d, Imag=0000473e67d
Time=58025000 FFT Output: Real=0000137307d, Imag=3fffe4eee81
Time=58075000 FFT Output: Real=000000db46f, Imag=000005b476b
Time=58125000 FFT Output: Real=00001d51189, Imag=3fffea076fd
Time=58175000 FFT Output: Real=3fffd9f3f03, Imag=3ffff9005a4
Time=58225000 FFT Output: Real=00002f1ec18, Imag=0000107828c
Time=58275000 FFT Output: Real=3fffada4962, Imag=000017f86b5
Time=58325000 FFT Output: Real=00006207426, Imag=3fffebabca5
Time=58375000 FFT Output: Real=3fffa853cb7, Imag=000019b970a
Time=58425000 FFT Output: Real=000034080b7, Imag=3fffdf19661
Time=58475000 FFT Output: Real=3fffb8fccdd, Imag=3fffd38a0f1
Time=58525000 FFT Output: Real=000084c7945, Imag=0000781ffd2
Time=58575000 FFT Output: Real=3fff8ab931e, Imag=3fffb5118f0
Time=58625000 FFT Output: Real=3fffca5614c, Imag=3fffc16a43d
Time=58675000 FFT Output: Real=00009c6315e, Imag=00007a727d2
Time=58725000 FFT Output: Real=00000be88e1, Imag=3fff9f3a5df
Time=58775000 FFT Output: Real=3fff718bec0, Imag=0000260d78e
Time=58825000 FFT Output: Real=000055a143e, Imag=3fffe9132c3
Time=58875000 FFT Output: Real=00000548ff2, Imag=00002f13a61
Time=58925000 FFT Output: Real=3fff9cc3c99, Imag=00002020ebe
Time=58975000 FFT Output: Real=000079214cc, Imag=3fff9648c68
Time=59025000 FFT Output: Real=3fffc0a8b14, Imag=000027712f2
Time=59075000 FFT Output: Real=3ffff1f008a, Imag=000037dc835
Time=59125000 FFT Output: Real=000029dadb0, Imag=3fffb96e4b1
